point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,elevation,rel_elev,dist_sewer,dist_pri_sewer,dist_trash,lc_10m_veg,lc_10m_soil,lc_10m_imperv,lc_30m_veg,lc_30m_soil,lc_30m_imperv,lc_pablo_10m_veg,lc_pablo_10m_soil,lc_pablo_10m_imperv,lc_pablo_30m_veg,lc_pablo_30m_soil,lc_pablo_30m_imperv
137,2,561269.4,8571263,faeces,1,0,1,0,30,2,21.17327172,23.95002755,46.24509032,0.973684211,0.026315789,0,0.665714286,0.21,0.124285714,0.989883268,0,0.010116732,0.813182054,0.052139269,0.134678677
140,2,561193.9,8571263,faeces,1,0,1,0,39.14895248,11.148952479999998,1.073948407,43.82277426,31.17562554,0.012820513,0.153846154,0.833333333,0.283475783,0.286324786,0.43019943,0.222308892,0.049921997,0.727769111,0.33778162900000003,0.139254766,0.522963605
141,2,561230.5,8571284,faeces,1,0,1,0,49.29875565,21.298755649999997,0.545405036,64.08357764,55.29477537,0.075,0.3375,0.5875,0.211267606,0.367605634,0.421126761,0.229329173,0.179407176,0.591263651,0.334951036,0.222809602,0.442239362
17,2,561155,8571178,faeces,1,0,1,0,39.23305512,11.233055120000003,11.23165552,32.99850975,63.34935699,0.243589744,0.269230769,0.487179487,0.137535817,0.40974212,0.452722063,0.314886984,0.24629774,0.438815277,0.230789223,0.205925669,0.563285108
20,2,561144.9,8571145,faeces,1,0,1,0,35,7,19.23140029,19.23140029,37.76204107,0.418918919,0.554054054,0.027027027,0.284090909,0.464488636,0.251420455,0.560842434,0.20124805,0.237909516,0.435106567,0.209842315,0.355051118
25,2,561112.7,8571170,faeces,1,0,1,0,55,27,13.3347834,57.71871645,71.51104731,0,0.125,0.875,0.154390935,0.246458924,0.599150142,0.088785047,0.088785047,0.822429907,0.210658579,0.142807626,0.646533795
3,2,561138.5,8571192,faeces,1,0,1,0,45.78313065,17.783130649999997,8.264673239,27.30296439,70.11008532,0.15,0.3375,0.5125,0.147887324,0.384507042,0.467605634,0.198127925,0.301092044,0.500780031,0.204610452,0.218303146,0.577086403
39,2,561174.5,8571229,faeces,1,0,1,0,30.52816582,2.5281658200000017,1.337690355,14.67226735,26.27712396,0.473684211,0.407894737,0.118421053,0.341428571,0.39,0.268571429,0.545950156,0.402647975,0.051401869,0.464397089,0.219941095,0.315661816
40,2,561173.5,8571254,faeces,1,0,1,0,35.78163147,7.781631470000001,9.461935894,37.32350324,39.36495038,0.8375,0.15,0.0125,0.343661972,0.301408451,0.354929577,0.646417445,0.049844237,0.303738318,0.450875065,0.13411887,0.415006065
41,2,561220.1,8571248,faeces,1,0,1,0,32.63597488,4.635974879999999,15.20615902,30.9799571,16.14691636,0.55,0.25,0.2,0.209269663,0.401685393,0.389044944,0.475409836,0.259172521,0.265417642,0.460758836,0.200883576,0.338357588
